date,close,high,low,open,volume,adj_close
2020-01-02,72.40052795410156,72.46079141879511,71.15668916006118,71.4097927692221,135480400,72.40052795410156
2020-01-03,71.69664764404297,72.45596582996416,71.47246932030643,71.62915285765841,146322800,71.69664764404297
2020-01-06,72.26795196533203,72.3065214697964,70.56852501428666,70.81922311511464,118387200,72.26795196533203
2020-01-07,71.92806243896484,72.53310260522755,71.70870255084994,72.27758611058375,108872000,71.92806243896484
2020-01-08,73.0851058959961,73.38642316119072,71.63155170295238,71.63155170295238,132079200,73.0851058959961
2020-01-09,74.63749694824219,74.83033706552648,73.81068409472688,74.06137477592067,170108400,74.63749694824219
2020-01-10,74.80623626708984,75.370308736383,74.30484750773756,74.87132551313572,140644800,74.80623626708984
2020-01-13,76.40440368652344,76.43092342751396,75.00388181987825,75.12200317385458,121532000,76.40440368652344
2020-01-14,75.37269592285156,76.55145246560595,75.24976349452105,76.34173684913497,161954400,75.37269592285156
2020-01-15,75.0497055053711,76.0524904138791,74.6182170498927,75.17264532410701,121923600,75.0497055053711
2020-01-16,75.98981475830078,76.1007048279931,75.23049658770428,75.5920773695483,108829200,75.98981475830078
2020-01-17,76.8310775756836,76.83348311126043,75.9319442855303,76.2380799522902,137816400,76.8310775756836
2020-01-21,76.31041717529297,76.90099467937888,76.17301471865545,76.459869381581,110843200,76.31041717529297
2020-01-22,76.58280944824219,77.13481745633268,76.48879491769239,76.79493065234263,101832400,76.58280944824219
2020-01-23,76.95160675048828,77.03115126719418,76.0886300322076,76.63582686293465,104472000,76.95160675048828
2020-01-24,76.7298355102539,77.93992295405599,76.5394009459346,77.1974804769854,146537600,76.7298355102539
2020-01-27,74.47359466552734,75.1533609751762,73.49250366771739,74.74116092508633,161940000,74.47359466552734
2020-01-28,76.58039093017578,76.7515370876536,75.25459488094803,75.35342783283777,162234000,76.58039093017578
2020-01-29,78.18340301513672,79.02950436307852,77.46988569545148,78.20992276333985,216229200,78.18340301513672
2020-01-30,78.0700912475586,78.12312337660362,76.83589699674123,77.26738534868132,126743200,78.0700912475586
